session_id,day,species_id,species_name,n,alive_end,ate0,ate1,ate2p,avg_speed,avg_size,avg_sense,metabolism
817d3080,1,1,NS,40,0,1,6,33,2.2,1.0,30.0,1.0
817d3080,1,1,NS,40,0,1,6,33,2.2,1.0,30.0,1.0
817d3080,2,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
817d3080,2,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
817d3080,3,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
817d3080,3,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
bf5c417d,1,1,NS,40,0,1,6,33,2.2,1.0,30.0,1.0
bf5c417d,1,1,NS,40,0,1,6,33,2.2,1.0,30.0,1.0
bf5c417d,2,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
bf5c417d,2,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
bf5c417d,3,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
bf5c417d,3,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
bf5c417d,4,1,NS,16,0,1,1,14,2.2,1.0,30.0,1.0
bf5c417d,4,1,NS,16,0,1,1,14,2.2,1.0,30.0,1.0
bf5c417d,5,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
bf5c417d,5,1,NS,16,0,0,0,16,2.2,1.0,30.0,1.0
